subj_idx,commission_errors,commission_errors_r,omission_errors,go_accuracy,nogo_accuracy,overall_accuracy,rt_go_avg,rt_nogo_avg
337,8,48,0,100,85.71428571428571,97.14285714285714,345.16571428571433,283.5850000000046
338,14,42,20,91.03139013452915,75,87.81362007168458,379.3162561685883,326.0857143006152
339,5,51,1,99.55357142857143,91.07142857142857,97.85714285714285,320.5623318071349,285.359999942765
340,10,46,4,98.21428571428571,82.14285714285714,95,331.05181816122996,279.1299999690149
341,10,46,0,100,82.14285714285714,96.42857142857143,305.1760714285706,276.15999999999474
342,15,41,9,95.98214285714286,73.21428571428571,91.42857142857143,327.621953488372,285.91333333332733
343,11,45,5,97.76785714285714,80.35714285714286,94.28571428571428,346.8200907406747,313.3363631855424
344,32,24,5,97.74774774774775,42.857142857142854,86.6906474820144,302.0520737326771,288.7531250000434
345,8,48,4,98.21428571428571,85.71428571428571,95.71428571428572,335.6140909086297,272.7249999998239
346,10,46,4,98.21428571428571,82.14285714285714,95,334.84272726194706,336.3499999952619
347,8,48,9,95.96412556053812,85.71428571428571,93.9068100358423,329.83457944168936,365.78749999960564
348,7,49,0,100,87.5,97.5,329.35982143413355,309.37142857441046
349,31,25,3,98.65470852017937,44.642857142857146,87.81362007168458,343.7172726401393,310.77419347147645
350,21,35,6,97.30941704035875,62.5,90.32258064516128,319.30184331791054,288.8476190475568
351,9,47,3,98.66071428571429,83.92857142857143,95.71428571428572,319.553122171948,264.99555555556435
352,31,25,10,95.53571428571429,44.642857142857146,85.35714285714285,369.21028027088585,332.40645149292055
353,18,38,6,97.2972972972973,67.85714285714286,91.36690647482014,353.10925923398247,313.6277777645333
354,7,49,1,99.55357142857143,87.5,97.14285714285714,351.255067264573,288.1285714285727
355,37,19,22,89.81481481481481,33.92857142857143,78.30882352941177,299.7737113426183,269.22972973158136
356,29,27,64,70.77625570776256,48.214285714285715,66.18181818181819,262.523870967113,233.79999999930692
357,11,45,2,99.10714285714286,80.35714285714286,95.35714285714286,294.111261261919,267.30909090989206
358,15,41,38,83.03571428571429,73.21428571428571,81.07142857142857,334.3241933720075,282.45333307904656
359,26,30,2,99.10714285714286,53.57142857142857,90,306.4648648648541,267.88461538463383
360,19,37,4,98.15668202764977,64.81481481481481,91.5129151291513,272.7723004720443,218.62105263579838
361,17,39,16,92.85714285714286,69.64285714285714,88.21428571428571,409.61730771488925,370.70588237958145
362,32,24,10,95.53571428571429,42.857142857142854,85,357.4808411109119,329.83124999477695
363,9,47,8,96.42857142857143,83.92857142857143,93.92857142857143,355.1564815355647,289.76666673554183
364,15,41,7,96.875,72.72727272727273,92.1146953405018,329.9129031943859,314.50666662693646
365,19,37,22,89.32038834951457,62,83.984375,338.4603260633736,256.7736841841772
366,5,51,2,99.10714285714286,91.07142857142857,97.5,350.9590990990956,325.09599999999625
367,41,15,2,99.04306220095694,24.074074074074073,83.65019011406845,288.82222222202574,272.5780487802077
368,27,29,3,98.66071428571429,51.78571428571429,89.28571428571429,318.67249769861,284.61177774599196
369,29,27,5,97.75784753363229,48.214285714285715,87.81362007168458,287.2344036474169,266.0931034392325
370,17,39,1,99.55357142857143,69.64285714285714,93.57142857142857,324.3847533634286,292.07647058736063
371,15,41,7,96.875,73.21428571428571,92.14285714285714,375.7069124396085,345.6933333321436
372,39,17,3,98.62385321100918,29.09090909090909,84.61538461538461,304.3186046514708,271.79230769261017
373,25,31,14,93.72197309417041,55.35714285714286,86.02150537634408,351.3515789473686,302.4552000000028
374,25,31,6,97.1291866028708,48.97959183673469,87.98449612403101,339.2157633753246,312.4679998283362
375,12,44,3,98.66071428571429,78.57142857142857,94.64285714285714,325.2959276121692,289.9083333407895
376,11,45,2,99.10714285714286,80.35714285714286,95.35714285714286,327.43873873911565,307.02727272455445
377,12,44,6,97.32142857142857,78.57142857142857,93.57142857142857,333.7559632237895,295.59999988872977
378,30,26,4,98.21428571428571,45.45454545454545,87.81362007168458,255.6869318181803,231.11573333332876
379,12,44,2,99.10313901345292,78.18181818181819,94.96402877697841,303.1705882391767,247.79999994436608
380,18,38,75,62.5,60.86956521739131,62.19512195121951,263.4335999776853,225.58333331611072
381,19,37,13,94.19642857142857,66.07142857142857,88.57142857142857,365.25260663503497,343.28421052619524
382,11,45,2,99.10313901345292,80.35714285714286,95.3405017921147,318.19954755316866,301.12727277928866
383,16,40,2,99.10714285714286,71.42857142857143,93.57142857142857,324.49234234240106,293.887500000028
384,30,26,28,84.5303867403315,38.775510204081634,74.78260869565217,252.3607843349202,232.78333335161395
385,25,31,7,96.8609865470852,55.35714285714286,88.5304659498208,321.8148148148165,278.68399999991874
386,8,48,4,98.21428571428571,85.71428571428571,95.71428571428572,354.23158636097503,321.2819999973908
387,1,55,6,97.32142857142857,98.21428571428571,97.5,370.21055042131314,356.49999990462675
388,16,40,1,99.55357142857143,71.42857142857143,93.92857142857143,318.5251121079565,290.8562500003536
389,16,40,8,96.42857142857143,70.9090909090909,91.39784946236558,331.0953701919983,320.9124998152238
390,26,30,10,95.53571428571429,53.57142857142857,87.14285714285714,351.0298130841114,332.1338461538471
391,30,26,19,90.73170731707317,42.30769230769231,80.93385214007782,298.58172041113755,264.6766666475926
392,27,29,36,82.35294117647058,44.89795918367347,75.09881422924902,308.69285713945214,253.614814811785
393,34,22,10,95.4337899543379,39.285714285714285,84,333.5033492839381,307.81470588353585
394,14,42,2,99.10714285714286,75,94.28571428571428,305.1021982093645,267.56271427890584
395,15,41,3,98.66071428571429,73.21428571428571,93.57142857142857,352.87737556427027,325.3199999983151
